id,title,file_type,timeliness,file_id,page
c853d49807f03264b7792ec8f997549a,闻喜县人民政府关于更新城区基准地价的通知,县（市、区）政府及办公室规范性文件,现行有效,aa647c0580a6709a04977346dd41d335,1
8650cf7a6009ae3b0b457f7a4412058c,翼城县人民政府关于坚决制止耕地“非农化”防止耕地”非粮化“的通告.,县（市、区）政府及办公室规范性文件,现行有效,b44f1a503cbdaf708df4041b00eb5ef0,1
07c15dad1de32a42702cf333ed8421e3,运城市电梯安全管理条例,设区的市地方性法规,现行有效,057516d7c7512d4d78c4bc3e7e93a8ea,1
4e845dbd6e457f74e9f9ebf4eb1f5a93,晋中市退役军人事务局 晋中市财政局 关于印发《晋中市军队离休退休干部荣誉疗养办法》的通知,市政府部门行政规范性文件,现行有效,2765187cb1bea00c6dd50d8130ddfff7,1
162f7d155bf4b597e6ca2f3686944d87,临汾市沁河流域生态保护与修复条例,设区的市地方性法规,现行有效,2ca0326a82a1d3343041f9654a9d390b,1
7f57fd33932bc62f6a17b07c768a19f8,晋中市供热经营许可管理办法,市政府部门行政规范性文件,现行有效,04e2945eb0efb28a8d6cd076a6a3a2be,1
1a4c9a1aff1986cd3dd0266d79dd6e1c,山西省审计厅 山西省民营经济发展局 山西省工商业联合会关于引导和支持民营企业建立内部审计制度的指导意见,省政府部门行政规范性文件,现行有效,d15b7b805840b41397f2312470726e3f,1
0577052b263b88916d38f1084151821c,促进大同经开区新能源汽车产业发展奖励政策（试行）,市政府部门行政规范性文件,现行有效,0e958372ca25ab001942200aba3d41ec,1
3984ac3ed8b468c70628c23aa66e60b7,山西省交通运输厅关于印发《山西省交通运输厅关于加强高速公路养护工程安全管理的实施意见》的通知,省政府部门行政规范性文件,现行有效,15e40132d46f3a9daca2ef3a068b82f9,1
d178e6de8c83a8136fc13011d8143e7a,山西省能源局关于印发《煤炭洗选行业建设项目 初步设计、开工建设、竣工验收管理办法》的通知,省政府部门行政规范性文件,现行有效,5144ff4cb4bf3923cca2847de3efa2d1,1
e9fb009ff43e0c4ceea57b5df6621be5,山西省能源局 山西省行政审批服务管理局关于明确煤炭洗选行业建设项目备案有关事项的通知,省政府部门行政规范性文件,现行有效,bbaa7cf983ba6ae9538bb27bfd49eb17,1
5c086e3a5fd9e9427991693168aff6ab,关于全面建立小店区工程建设领域保障农民工工资支付企业“红、黑”榜制度的通知,县（市、区）政府部门行政规范性文件,现行有效,e37b16e79ab3e5d1a41eebd4a53ba512,1
d29f50050c353b2fc3c03108142095d7,全省农村集体经济组织财务制度实施细则（试行）,省政府部门行政规范性文件,现行有效,4028dc78b83a58956f5b4fdc7fd57bf1,1
c885bf6bfb8de40018b9fd6a580f1c44,关于印发新绛县企业应急周转保障资金 管理办法的通知,县（市、区）政府及办公室规范性文件,现行有效,72598296c3c6e26435645333e9b3e742,1
97772e09120ffa3ba454a270a5b9c77f,山西省发展改革委关于印发《管道燃气运输和配气价格管理办法》的通知,省政府部门行政规范性文件,现行有效,9182655ecd9e202b4f5355fb9d124b2d,1
e20a291286b325201047361d2cf0187d,关于印发《晋中市交通运输局公路建设项目招标投标管理实施细则（试行）》的通知,市政府部门行政规范性文件,现行有效,76b41ab3ba17f2480e046b577c13cc5a,1
4db21bc98ee37d1a7ba98708d89fceea,祁县人民政府关于划定禁煤区的通告,县（市、区）政府及办公室规范性文件,现行有效,6cd47704bed79104da5dffe280e1e6db,1
32f256d0b008be7735598d6bf6bef934,山西省人民政府关于印发山西省数据工作管理办法的通知  ,省政府及办公厅规范性文件,现行有效,a639030b51a872844dfb3b9d317b13b7,1
b116f6e5733bee41b196b5b2f0e7fb27,山西省人民政府办公厅关于印发山西省促进先进算力与人工智能融合发展若干措施的通知  ,省政府及办公厅规范性文件,现行有效,0f025f1b21eecfd5f6d9167a0316ada0,1
032b3280194036587d48734580ae8cd4,翼城县人民政府办公室关于印发翼城县中心城区自建房建设管理办法（试行）的通知,县（市、区）政府及办公室规范性文件,现行有效,1a78a77e2473259d710bd0873e1a8ab7,1
3d0df832e8d789d96e12bae34271dea7,山西省人民政府办公厅关于印发山西省工伤保险费率管理办法的通知 ,省政府及办公厅规范性文件,现行有效,a17e9d1657806552615ab15855397ea1,1
616c9f7d751c29eb52f53b1b3c2b0edb,山西省人民政府办公厅关于调整《山西省煤炭洗选行业建设项目管理暂行办法》部分事项的通知 ,省政府及办公厅规范性文件,现行有效,c825c2548aa81b44bf08e76d6a0244c7,1
bb376b2674c0041ec79313cbbf7156bd,天镇县人大常委会关于《天镇县国土空间总体规划（2021-2035）》的决议,县（市、区）人大及其常委会规范性文件,现行有效,92bcab99419156763bae05b1890e03f4,1
6c2b7b62254765135fb5ea461925a193,山西省人民政府办公厅关于印发山西省就业困难人员认定管理办法的通知  ,省政府及办公厅规范性文件,现行有效,0c1c5b57a618cc1f9aac9cf81ea643c2,1
a6242ab46affe6f0a5b834792b386796,临汾市人民代表大会议事规则,设区的市地方性法规,现行有效,3853596ac664ae9f48bf4deeacdd6254,1
9fa135f7bc34484657a6a02dd4d2d7f4,阳泉市地方立法条例,设区的市地方性法规,已修改,677f33de141fccbe5df63cd2ddfd1d87,1
4ee100f3949ef869e78d288afebd3fdc,山西省人民政府办公厅关于印发山西省突发事件应急预案管理办法的通知  ,省政府及办公厅规范性文件,现行有效,625ddaaa259887a9ac191686d664b7b8,1
62ba7ee2d4af0238c08815e00f6ad2b5,绛县人民政府办公室关于印发《绛县科技研发三项费用管理办法》的通知,县（市、区）政府及办公室规范性文件,现行有效,b787ccde5d12eb60a450d5d4777f452b,1
9ba2a6630641d4e64b55204531f154fc,翼城县人民政府办公室关于印发翼城县农村供水工程管水员管理办法（试行）的通知,县（市、区）政府及办公室规范性文件,现行有效,668a3f41c15c2707d626e061637284af,1
b22be9327e3a83261d65806c346dc51c,关于印发大同经开区资 本市场发展奖补办法(试行)的通知,市政府部门行政规范性文件,现行有效,dc561d09f5d5bcf2b7b315336c6680e0,1
f8318fb6fdc96ac1cce021ed4b68dde2,关于交通运输工程施工单位主要负责人、项目负责人和专职安全生产管理人员安全生产考核管理的实施意见,省政府部门行政规范性文件,现行有效,33dc04c9068a74401937103f1663b90a,1
abcdb21837ce4859c8b26d3eb8e63c88,闻喜县人民政府办公室关于调整闻喜县公共租赁住房配建比例的通知,县（市、区）政府及办公室规范性文件,现行有效,877c70e2204573a51897689b65b04e33,1
1bd40c2c59222d4518d3c61c3c289423,山西省人民政府办公厅关于印发山西省矿山安全监管专员制度的通知,省政府及办公厅规范性文件,现行有效,0af36b6d6b1e0f664a2f326d194abd90,1
357661d5946c81cfcfc2e66453d44850,关于加强全市人防工程内安设新能源汽车充电设施规范管理的通知（试行）,市政府部门行政规范性文件,现行有效,22d282b1e9bc184196d4c95d498fb4d6,1
1386ec9684b4d0641dff7fb176b4288d,关于印发《山西省交通运输厅公路水路及城市客运交通运输行业安全生产分类分级监管实施细则》的通知,省政府部门行政规范性文件,现行有效,24cb69f78241568398ac7f0e2d831776,1
241ec9f92bd4c7bbc9db87793325ba29,山西省人民政府办公厅关于印发山西省煤矿复工复产验收管理办法的通知,省政府及办公厅规范性文件,现行有效,29307cf9b3f325b7576a979f7da4d977,1
687759d75d0c370c96fd05c615224d62,绛县人民政府办公室关于印发《绛县企业应急周转保障资金管理办法》的通知,县（市、区）政府及办公室规范性文件,现行有效,b265481ebdbc7cae6de5f80137d3e953,1
e9cbcda040bd64ba8aa5dfcd99af39f3,山西省农业农村厅关于印发生猪产能调控实施方案(2024年修订)的通知,省政府部门行政规范性文件,现行有效,bba54c83160a992c14bc920a6923dfca,1
fe258bc993ce10fdb02b69846ee30253,山西省教育厅 山西省高级人民法院 山西省人民检察院  山西省公安厅 山西省司法厅关于印发《中小学法治副校长聘任管理实施细则》的通知,省政府部门行政规范性文件,现行有效,58e426f8b4c051ed0e5e5d66a1e93d70,1
8f0c82a57bbe45fd6f733069b18f6318,芮城县人民政府办公室关于印发《芮城县城区建筑垃圾管理及资源化利用实施办法》的通知,县（市、区）政府及办公室规范性文件,现行有效,1a53ade3634c20ea0907887cf9416b44,1
291cb9e95b80156cd1b1082b1898b9b2,太原市小店区人民政府关于废止《关于印发太原市小店区创新提升营商环境加快推进市场主体倍增工程行动方案的通知》的通知,县（市、区）政府及办公室规范性文件,现行有效,992ff8bc50c2dd539cd6ee55eb59c976,2
6f78591ac2183c5e2ad98c3bdc3e0c59,关于加强经营主体集群登记管理工作的通知,市政府部门行政规范性文件,现行有效,c82bb1e87f338b1e73711e45fdcb2d89,2
